District,State,Birth_Registration,Electricity,Drinking_Water,Sanitation,Clean_Fuel,Health_Insurance,Female_Literacy,Female_10Y_Schooling,Early_Marriage,Adolescent_Pregnancy,Menstrual_Hygiene,ANC_First_Trimester,ANC_4plus,Postnatal_Care,Institutional_Births,Skilled_Birth_Attendance,Fully_Vaccinated,Vitamin_A,Diarrhoea_Prevalence,Stunting,Wasting,Underweight,Child_Anaemia,Infrastructure_Score,Education_Gender_Score,Maternal_Health_Score,Child_Health_Score,Child_Health_Indicators_Available,Overall_Development_Score,Development_Rank
Changlang,Arunachal Pradesh,0.9512598099958695,0.8467614533965246,0.6905814348860931,0.7514516357456451,0.27933757402939235,0.4075951986754967,0.638089005235602,0.22673639045320462,0.7092518659954868,0.6687454145267793,0.8803680981595092,0.5278384279475983,0.45158553399087914,0.6009924892703862,0.6825699745547074,0.7284969591659427,0.5206134564643801,0.714305928965615,0.967438310862376,0.7230769230769231,0.72802386963507,0.6765078790074263,0.42737707241037276,0.6544978511215036,0.6246381548741163,0.5982966769859027,0.6796204914888805,7,0.6392632936176008,435
Lower Subansiri,Arunachal Pradesh,0.7938868236266005,0.9314375987361769,0.9683781026861612,0.7585327857244016,0.5724939679754332,0.24110099337748345,0.625,0.4868597479216947,0.7220968581843429,0.9262655906089508,0.9166301489921121,0.36913209606986896,0.3682256867112101,0.5741684549356222,0.8698473282442749,0.8929916015059368,,0.6026602518749116,0.83719155431188,0.6305584826132771,0.8395685104429653,0.9838797319326209,0.6098908884795239,0.7109717120210428,0.73537046914142,0.6148730334933826,0.7506249032758632,6,0.7029600294829271,290
Dibang Valley,Arunachal Pradesh,0.9277158199091284,0.3437598736176938,1.0,0.9311712222064863,0.4458214520728229,0.2849751655629139,0.6418520942408377,0.3964869938321265,0.6405137996875542,0.9754218635363169,0.875,0.46875,0.3820129388058119,0.5533798283261803,0.8157760814249365,0.8275412684622069,,0.4320079241545211,0.901551767997965,0.9216016859852476,0.6864815239843929,0.8409708386161928,0.09805866515516509,0.6555739222281741,0.7058549502593671,0.609492023403827,0.6467787343155808,6,0.6544249075517372,402
Lower Dibang Valley,Arunachal Pradesh,0.8471705906650143,0.5067930489731438,0.9918395103706221,0.8588018694235944,0.5348760693134459,0.36879139072847683,0.7028795811518325,0.5134084204880665,0.7606318347509113,0.9431401320616287,0.9561787905346187,0.4096615720524018,0.46940290592851835,0.4511802575107296,0.8743002544529263,0.9093541847668694,0.5679419525065963,0.5609169378802886,0.9285169168150598,0.9768177028451,0.9277025476245123,0.9550806013403369,0.623069292900666,0.6847120799123828,0.7752477517974115,0.6227798349422891,0.7914351359875086,7,0.718543700659898,252
Anjaw,Arunachal Pradesh,0.8851714167699297,0.8859399684044235,0.7723563413804828,0.8154652315536043,0.2237332748409739,0.16887417218543047,0.4792212041884817,0.2039420756234915,0.6215934733553203,0.814380044020543,0.8799298860648554,0.35043668122270744,0.2965319758192809,0.41335836909871243,0.7194656488549619,0.6956269910222995,,0.4404980897127495,0.7631645891630627,0.7808219178082191,0.773927014000459,0.839884078971201,0.543715459827122,0.6252567341891407,0.5998133366505385,0.49508393320359245,0.6903351915804689,6,0.6026222989059351,507
East Siang,Arunachal Pradesh,0.6670797191243287,0.9140600315955767,0.9535872152329139,0.773969692678091,0.48069752138626887,0.3037044701986755,0.7388743455497383,0.5626173236792705,0.7411907654921022,0.8316214233308877,0.8659070990359334,0.18490720524017462,0.3171067981758405,0.41282188841201717,0.8834605597964377,0.8440486533449175,,0.5633224847884534,0.7840244212668532,0.7584826132771336,0.9061280697727795,0.9438507516754211,0.623069292900666,0.6821831083693092,0.7480421914175863,0.5284690209938775,0.7631462722802178,6,0.6804601482652477,341
Kra Daadi,Arunachal Pradesh,0.8496489054109871,0.9902053712480252,0.9972798367902075,0.8500212434499365,0.7646413687212107,0.2361341059602649,0.27323298429319365,0.18503620273531773,0.5688248567956952,0.5282465150403522,0.8862839614373357,0.4930403930131005,0.14752359741223883,0.13371781115879827,0.6633587786259544,0.7241529105125978,,0.8586387434554975,0.8478758585601627,0.6703898840885142,0.8870782648611429,0.8665096902735012,0.47513107552784467,0.7813218052634388,0.4883249040603789,0.432358698144538,0.7676039194611105,6,0.6174023317323666,478
Kurung Kumey,Arunachal Pradesh,0.8634861627426683,0.9747235387045815,0.9964297857871474,0.6952273049143182,0.5337793375740294,0.12706953642384106,0.6192735602094241,0.2823813354786805,0.6563096684603368,0.7193690388848129,0.9571647677475899,0.2581877729257642,0.42157174673878456,0.5017435622317596,0.6076335877862595,0.5613958876339414,,0.28951464553558803,0.8814551004833376,0.6619599578503688,0.7567133348634382,0.8790074261909074,0.46889613150063764,0.698452611024431,0.6468996741561688,0.47010651146330185,0.656257766070713,6,0.6179291406786536,477
Lohit,Arunachal Pradesh,0.8552251135894258,0.965560821484992,0.9469568174090445,0.7707123636878629,0.606163632375521,0.3179842715231788,0.5698625654450263,0.3171091445427728,0.6528380489498351,0.8019075568598679,0.9053461875547765,0.5533569868995634,0.3738466433343939,0.5537821888412017,0.8758269720101782,0.8885027512308138,,0.644120560350927,0.8087000763164589,0.7618545837723919,0.8106495294927702,0.8960333272957797,0.6093240753861414,0.7437671700116709,0.6494127006704556,0.6490631084632301,0.7551136921024115,6,0.699339167811942,300
Longding,Arunachal Pradesh,0.7674514663362246,0.9191153238546603,0.36195171710302615,0.7677382806967853,0.15134898003948233,0.23447847682119205,0.5449934554973821,0.1890587288817377,0.863218191286235,0.9192956713132796,0.912248028045574,0.5387554585152838,0.3735284759783646,0.43106223175965663,0.5484732824427482,0.49348392701998256,0.21965699208443273,0.378661383896986,0.988552531162554,0.9454162276080084,0.6293321092494836,0.8804564390508965,0.8092673940768031,0.5336807074752284,0.6857628150048416,0.4770606751432071,0.6930490110184521,7,0.5973883021604323,520
Namsai,Arunachal Pradesh,0.7899628252788103,0.8878357030015799,0.8900034002040123,0.649624699051126,0.2203334064487826,0.30742963576158944,0.46695026178010474,0.11517833199249129,0.5363652143725047,0.5854732208363903,0.9233128834355828,0.4814410480349345,0.3288789903489235,0.35246781115879827,0.5368956743002545,0.5485085432956849,0.4586081794195251,0.6354888920333949,0.9559908420249301,0.6718651211801896,0.8186825797567133,0.8092736823039306,0.5148079920646167,0.6241982782909835,0.5254559824834149,0.4496384134277191,0.6949596126833286,7,0.5735630717213616,569
Siang,Arunachal Pradesh,0.5855018587360596,0.9883096366508687,0.9369262155729344,0.8774961053675118,0.20826935731520071,0.2582781456953642,0.7977748691099477,0.4958433896486993,0.8272869293525429,0.983125458547322,0.9796231375985978,0.33447052401746724,0.28391133736345314,0.41697961373390563,0.7595419847328244,0.7494931943237765,,0.5743597000141504,0.9320783515644874,0.8286617492096944,0.8239614413587331,0.9701141097627242,1.0,0.6424635532229899,0.8167307568514219,0.5088793308342854,0.8548625586516315,6,0.7057340498900821,282
